class,content_hash,duplicate_files,kept,dropped
Astrocitoma T1,2ff549497aee69d06a0b279b39ee3de851991b53a9de90f4edcf92ff841c8723,astro_infraT (10).jpeg; astro_infraT (2).jpeg,astro_infraT (10).jpeg,astro_infraT (2).jpeg
Astrocitoma T1,e7cdb57a57a5f0f1e49930e8eb8bb753cdde3e88908778e855b873700ce717d9,astro_infraT (13).jpeg; astro_infraT (7).jpeg,astro_infraT (13).jpeg,astro_infraT (7).jpeg
Astrocitoma T1,fd3253f6b66748473905dd8721803dbb640a1d40c988debcbca1a6e45c485cff,astro_infraT (16).jpeg; astro_infraT (20).jpeg,astro_infraT (16).jpeg,astro_infraT (20).jpeg
Astrocitoma T1,3f8a43ae02509df86e4de83831f4594b5f641cd77c45f34a948a5160bfa7e7df,astro_infraT (18).jpeg; astro_infraT (9).jpeg,astro_infraT (18).jpeg,astro_infraT (9).jpeg
Astrocitoma T2,1a64a0baa4050ffc7d4cc694826f92296efbaabc5a3d74444cc09feb26d3c1be,07bee41228cffe84d711bb25d9f980_big_gallery.jpeg; f4456b17e60ff6d2fde8e26e6e51b4_big_gallery.jpeg,07bee41228cffe84d711bb25d9f980_big_gallery.jpeg,f4456b17e60ff6d2fde8e26e6e51b4_big_gallery.jpeg
Astrocitoma T2,5206c7493ded87b25a59ddb9907cf84ee645ae71c5702d10dd3fb1463a59ee17,1ca3b483273e93543493416147f5a4_big_gallery.jpeg; be0283af75cae8e9ec02613cdf57c4_big_gallery.jpeg,1ca3b483273e93543493416147f5a4_big_gallery.jpeg,be0283af75cae8e9ec02613cdf57c4_big_gallery.jpeg
Astrocitoma T2,3bddb23df857b6dba1dff376aafcea17131177513eeec3eaf081adb361af9d42,28acf0fd9dc9a5fa3ae69ee28853f8_big_gallery.jpeg; d93e5c441bca25ae261ce83989326e_big_gallery.jpeg,28acf0fd9dc9a5fa3ae69ee28853f8_big_gallery.jpeg,d93e5c441bca25ae261ce83989326e_big_gallery.jpeg
Astrocitoma T2,9f587acf478d1b6a1772fcbfa19077e813d5a49f206adc8708379c39afa39a38,36746410de2a874e6bb3696b3c994a_big_gallery.jpeg; 909fed3bf9593bef90877df86ef334_big_gallery.jpeg,36746410de2a874e6bb3696b3c994a_big_gallery.jpeg,909fed3bf9593bef90877df86ef334_big_gallery.jpeg
Astrocitoma T2,f4abf43cdd03c95c5a440e7c5f806c3563acc9e1b53749410e6fd74fe1d5d63f,446c6e6d53cbc514f9f4b51697fabb_big_gallery.jpeg; 992becd63a8141cb6844b0ab7158ce_big_gallery.jpeg,446c6e6d53cbc514f9f4b51697fabb_big_gallery.jpeg,992becd63a8141cb6844b0ab7158ce_big_gallery.jpeg
Astrocitoma T2,87f60264c6514d34482bb4c67e1e09287c1cc4d6e3e50b36e907f46d915b7e59,7fed4c9656d608f3b956fef3693871_big_gallery.jpeg; 9e605d7a0dfd25806e53a40cb3822c_big_gallery.jpeg,7fed4c9656d608f3b956fef3693871_big_gallery.jpeg,9e605d7a0dfd25806e53a40cb3822c_big_gallery.jpeg
Meningioma T1,af7c05d296d0705a6cc5a0b166d36100eff63a24c9350c0a040070fceaffeabb,2022-05-30 16_47_04-Angiomatous meningioma _ Radiology Case _ Radiopaedia.org - Opera.jpg; 2022-05-30 16_47_22-Angiomatous meningioma _ Radiology Case _ Radiopaedia.org - Opera.jpg,2022-05-30 16_47_04-Angiomatous meningioma _ Radiology Case _ Radiopaedia.org - Opera.jpg,2022-05-30 16_47_22-Angiomatous meningioma _ Radiology Case _ Radiopaedia.org - Opera.jpg
