class,precision,recall,f1_score,support
Astrocitoma T1,0.6842,0.4815,0.5652,27
Astrocitoma T1C+,0.7647,0.3611,0.4906,36
Astrocitoma T2,0.6471,0.4231,0.5116,26
Carcinoma T1,0.6923,0.8182,0.75,11
Carcinoma T1C+,0.8182,1.0,0.9,18
Carcinoma T2,1.0,0.9167,0.9565,12
Ependimoma T1,0.8571,0.75,0.8,8
Ependimoma T1C+,0.625,0.625,0.625,8
Ependimoma T2,0.3333,0.6,0.4286,10
Ganglioglioma T1,0.4286,1.0,0.6,3
Ganglioglioma T1C+,0.5,0.25,0.3333,4
Ganglioglioma T2,1.0,0.25,0.4,4
Germinoma T1,0.5714,0.8,0.6667,5
Germinoma T1C+,0.2941,0.8333,0.4348,6
Germinoma T2,0.75,1.0,0.8571,6
Glioblastoma T1,0.8889,0.8889,0.8889,9
Glioblastoma T1C+,0.65,0.8667,0.7429,15
Glioblastoma T2,0.5,0.6667,0.5714,9
Granuloma T1,0.6,0.6,0.6,5
Granuloma T1C+,0.5,0.8333,0.625,6
Granuloma T2,0.375,0.75,0.5,4
Meduloblastoma T1,0.6667,1.0,0.8,4
Meduloblastoma T1C+,0.4231,1.0,0.5946,11
Meduloblastoma T2,0.5,0.2857,0.3636,7
Meningioma T1,0.6897,0.5,0.5797,40
Meningioma T1C+,0.7857,0.6,0.6804,55
Meningioma T2,0.6111,0.6286,0.6197,35
Neurocitoma T1,0.625,0.75,0.6818,20
Neurocitoma T1C+,0.8333,0.8824,0.8571,34
Neurocitoma T2,0.8421,0.9412,0.8889,17
Oligodendroglioma T1,0.9091,0.7143,0.8,14
Oligodendroglioma T1C+,0.6923,0.75,0.72,12
Oligodendroglioma T2,0.7143,0.4545,0.5556,11
Papiloma T1,0.6923,0.8182,0.75,11
Papiloma T1C+,0.75,0.7059,0.7273,17
Papiloma T2,0.8333,0.5,0.625,10
Schwannoma T1,0.6207,0.7826,0.6923,23
Schwannoma T1C+,0.8276,0.8,0.8136,30
Schwannoma T2,0.6842,0.6842,0.6842,19
Tuberculoma T1,0.5556,1.0,0.7143,5
Tuberculoma T1C+,0.5833,0.5,0.5385,14
Tuberculoma T2,0.5,0.1667,0.25,6
_NORMAL T1,0.9091,0.7692,0.8333,39
_NORMAL T2,0.6939,0.8095,0.7473,42
