class,precision,recall,f1_score,support
Astrocitoma T1,0.8421,0.5926,0.6957,27
Astrocitoma T1C+,0.9375,0.4167,0.5769,36
Astrocitoma T2,0.5882,0.3846,0.4651,26
Carcinoma T1,1.0,0.8182,0.9,11
Carcinoma T1C+,1.0,0.9444,0.9714,18
Carcinoma T2,1.0,0.8333,0.9091,12
Ependimoma T1,1.0,0.875,0.9333,8
Ependimoma T1C+,0.8571,0.75,0.8,8
Ependimoma T2,0.7143,0.5,0.5882,10
Ganglioglioma T1,0.4,0.6667,0.5,3
Ganglioglioma T1C+,0.5,0.75,0.6,4
Ganglioglioma T2,0.2727,0.75,0.4,4
Germinoma T1,0.5556,1.0,0.7143,5
Germinoma T1C+,0.3846,0.8333,0.5263,6
Germinoma T2,0.7143,0.8333,0.7692,6
Glioblastoma T1,0.5385,0.7778,0.6364,9
Glioblastoma T1C+,0.7,0.9333,0.8,15
Glioblastoma T2,0.25,0.3333,0.2857,9
Granuloma T1,0.7143,1.0,0.8333,5
Granuloma T1C+,0.75,0.5,0.6,6
Granuloma T2,0.6,0.75,0.6667,4
Meduloblastoma T1,0.6667,1.0,0.8,4
Meduloblastoma T1C+,0.5556,0.9091,0.6897,11
Meduloblastoma T2,0.4444,0.5714,0.5,7
Meningioma T1,0.7419,0.575,0.6479,40
Meningioma T1C+,0.6939,0.6182,0.6538,55
Meningioma T2,0.4423,0.6571,0.5287,35
Neurocitoma T1,0.6154,0.8,0.6957,20
Neurocitoma T1C+,0.84,0.6176,0.7119,34
Neurocitoma T2,0.56,0.8235,0.6667,17
Oligodendroglioma T1,0.8235,1.0,0.9032,14
Oligodendroglioma T1C+,0.9,0.75,0.8182,12
Oligodendroglioma T2,0.5,0.2727,0.3529,11
Papiloma T1,0.6,0.8182,0.6923,11
Papiloma T1C+,0.8571,0.7059,0.7742,17
Papiloma T2,0.8333,0.5,0.625,10
Schwannoma T1,0.8077,0.913,0.8571,23
Schwannoma T1C+,0.7931,0.7667,0.7797,30
Schwannoma T2,0.5417,0.6842,0.6047,19
Tuberculoma T1,0.5556,1.0,0.7143,5
Tuberculoma T1C+,0.8571,0.4286,0.5714,14
Tuberculoma T2,1.0,0.8333,0.9091,6
_NORMAL T1,0.9394,0.7949,0.8611,39
_NORMAL T2,0.8667,0.9286,0.8966,42
