class,precision,recall,f1_score,support
Astrocitoma T1,0.9545,0.7778,0.8571,27
Astrocitoma T1C+,0.8889,0.6667,0.7619,36
Astrocitoma T2,0.6818,0.5769,0.625,26
Carcinoma T1,0.8182,0.8182,0.8182,11
Carcinoma T1C+,0.9474,1.0,0.973,18
Carcinoma T2,1.0,0.8333,0.9091,12
Ependimoma T1,1.0,0.875,0.9333,8
Ependimoma T1C+,0.7143,0.625,0.6667,8
Ependimoma T2,0.3636,0.4,0.381,10
Ganglioglioma T1,0.75,1.0,0.8571,3
Ganglioglioma T1C+,1.0,0.5,0.6667,4
Ganglioglioma T2,0.5,0.25,0.3333,4
Germinoma T1,0.6,0.6,0.6,5
Germinoma T1C+,0.4,1.0,0.5714,6
Germinoma T2,0.6667,1.0,0.8,6
Glioblastoma T1,1.0,1.0,1.0,9
Glioblastoma T1C+,0.625,1.0,0.7692,15
Glioblastoma T2,0.4615,0.6667,0.5455,9
Granuloma T1,1.0,0.8,0.8889,5
Granuloma T1C+,0.6667,0.6667,0.6667,6
Granuloma T2,0.5,0.5,0.5,4
Meduloblastoma T1,0.6667,1.0,0.8,4
Meduloblastoma T1C+,0.6471,1.0,0.7857,11
Meduloblastoma T2,0.625,0.7143,0.6667,7
Meningioma T1,0.8286,0.725,0.7733,40
Meningioma T1C+,0.8889,0.7273,0.8,55
Meningioma T2,0.6667,0.5714,0.6154,35
Neurocitoma T1,0.8182,0.9,0.8571,20
Neurocitoma T1C+,0.9118,0.9118,0.9118,34
Neurocitoma T2,0.8421,0.9412,0.8889,17
Oligodendroglioma T1,1.0,0.9286,0.963,14
Oligodendroglioma T1C+,0.6111,0.9167,0.7333,12
Oligodendroglioma T2,0.8333,0.4545,0.5882,11
Papiloma T1,1.0,0.9091,0.9524,11
Papiloma T1C+,0.8235,0.8235,0.8235,17
Papiloma T2,0.875,0.7,0.7778,10
Schwannoma T1,0.75,0.913,0.8235,23
Schwannoma T1C+,0.8438,0.9,0.871,30
Schwannoma T2,0.7,0.7368,0.7179,19
Tuberculoma T1,1.0,1.0,1.0,5
Tuberculoma T1C+,0.9,0.6429,0.75,14
Tuberculoma T2,0.8,0.6667,0.7273,6
_NORMAL T1,0.9211,0.8974,0.9091,39
_NORMAL T2,0.7959,0.9286,0.8571,42
