class,precision,recall,f1_score,support
Astrocitoma T1,0.7692,0.7407,0.7547,27
Astrocitoma T1C+,0.8,0.6667,0.7273,36
Astrocitoma T2,0.55,0.4231,0.4783,26
Carcinoma T1,0.8182,0.8182,0.8182,11
Carcinoma T1C+,0.9,1.0,0.9474,18
Carcinoma T2,1.0,0.8333,0.9091,12
Ependimoma T1,0.7273,1.0,0.8421,8
Ependimoma T1C+,0.5,0.625,0.5556,8
Ependimoma T2,0.5714,0.4,0.4706,10
Ganglioglioma T1,0.6,1.0,0.75,3
Ganglioglioma T1C+,1.0,0.5,0.6667,4
Ganglioglioma T2,1.0,0.25,0.4,4
Germinoma T1,0.4286,0.6,0.5,5
Germinoma T1C+,0.3529,1.0,0.5217,6
Germinoma T2,0.8333,0.8333,0.8333,6
Glioblastoma T1,1.0,0.7778,0.875,9
Glioblastoma T1C+,0.6087,0.9333,0.7368,15
Glioblastoma T2,0.3571,0.5556,0.4348,9
Granuloma T1,0.8,0.8,0.8,5
Granuloma T1C+,0.75,1.0,0.8571,6
Granuloma T2,1.0,0.25,0.4,4
Meduloblastoma T1,0.6,0.75,0.6667,4
Meduloblastoma T1C+,0.7333,1.0,0.8462,11
Meduloblastoma T2,0.4118,1.0,0.5833,7
Meningioma T1,0.7143,0.625,0.6667,40
Meningioma T1C+,0.8409,0.6727,0.7475,55
Meningioma T2,0.5714,0.4571,0.5079,35
Neurocitoma T1,0.7895,0.75,0.7692,20
Neurocitoma T1C+,0.9394,0.9118,0.9254,34
Neurocitoma T2,0.8,0.7059,0.75,17
Oligodendroglioma T1,0.9231,0.8571,0.8889,14
Oligodendroglioma T1C+,0.6471,0.9167,0.7586,12
Oligodendroglioma T2,0.8,0.3636,0.5,11
Papiloma T1,1.0,0.7273,0.8421,11
Papiloma T1C+,0.8667,0.7647,0.8125,17
Papiloma T2,0.875,0.7,0.7778,10
Schwannoma T1,0.7778,0.913,0.84,23
Schwannoma T1C+,0.7667,0.7667,0.7667,30
Schwannoma T2,0.4815,0.6842,0.5652,19
Tuberculoma T1,0.8333,1.0,0.9091,5
Tuberculoma T1C+,0.8182,0.6429,0.72,14
Tuberculoma T2,0.7143,0.8333,0.7692,6
_NORMAL T1,0.9032,0.7179,0.8,39
_NORMAL T2,0.7059,0.8571,0.7742,42
