class,precision,recall,f1_score,support
Astrocitoma T1,0.9565,0.8148,0.88,27
Astrocitoma T1C+,0.9032,0.7778,0.8358,36
Astrocitoma T2,0.8421,0.6154,0.7111,26
Carcinoma T1,0.9,0.8182,0.8571,11
Carcinoma T1C+,0.9444,0.9444,0.9444,18
Carcinoma T2,1.0,0.8333,0.9091,12
Ependimoma T1,0.6364,0.875,0.7368,8
Ependimoma T1C+,0.7143,0.625,0.6667,8
Ependimoma T2,0.5333,0.8,0.64,10
Ganglioglioma T1,0.75,1.0,0.8571,3
Ganglioglioma T1C+,1.0,0.75,0.8571,4
Ganglioglioma T2,1.0,0.5,0.6667,4
Germinoma T1,0.8333,1.0,0.9091,5
Germinoma T1C+,0.6667,1.0,0.8,6
Germinoma T2,0.7143,0.8333,0.7692,6
Glioblastoma T1,1.0,0.7778,0.875,9
Glioblastoma T1C+,1.0,0.9333,0.9655,15
Glioblastoma T2,0.7143,0.5556,0.625,9
Granuloma T1,0.5556,1.0,0.7143,5
Granuloma T1C+,1.0,0.3333,0.5,6
Granuloma T2,1.0,0.25,0.4,4
Meduloblastoma T1,1.0,0.75,0.8571,4
Meduloblastoma T1C+,0.9167,1.0,0.9565,11
Meduloblastoma T2,0.8333,0.7143,0.7692,7
Meningioma T1,0.9231,0.9,0.9114,40
Meningioma T1C+,0.8772,0.9091,0.8929,55
Meningioma T2,0.6744,0.8286,0.7436,35
Neurocitoma T1,0.95,0.95,0.95,20
Neurocitoma T1C+,0.9697,0.9412,0.9552,34
Neurocitoma T2,0.875,0.8235,0.8485,17
Oligodendroglioma T1,0.8235,1.0,0.9032,14
Oligodendroglioma T1C+,1.0,0.9167,0.9565,12
Oligodendroglioma T2,1.0,0.7273,0.8421,11
Papiloma T1,0.9,0.8182,0.8571,11
Papiloma T1C+,0.8824,0.8824,0.8824,17
Papiloma T2,1.0,0.9,0.9474,10
Schwannoma T1,0.84,0.913,0.875,23
Schwannoma T1C+,0.8621,0.8333,0.8475,30
Schwannoma T2,0.7895,0.7895,0.7895,19
Tuberculoma T1,0.8333,1.0,0.9091,5
Tuberculoma T1C+,0.9333,1.0,0.9655,14
Tuberculoma T2,0.5,0.6667,0.5714,6
_NORMAL T1,0.9024,0.9487,0.925,39
_NORMAL T2,0.7959,0.9286,0.8571,42
