class,precision,recall,f1_score,support
Astrocitoma T1,1.0,0.7407,0.8511,27
Astrocitoma T1C+,0.7143,0.5556,0.625,36
Astrocitoma T2,0.5152,0.6538,0.5763,26
Carcinoma T1,0.9,0.8182,0.8571,11
Carcinoma T1C+,0.9474,1.0,0.973,18
Carcinoma T2,0.7692,0.8333,0.8,12
Ependimoma T1,0.7143,0.625,0.6667,8
Ependimoma T1C+,0.8,0.5,0.6154,8
Ependimoma T2,0.3077,0.4,0.3478,10
Ganglioglioma T1,0.4286,1.0,0.6,3
Ganglioglioma T1C+,0.3333,0.5,0.4,4
Ganglioglioma T2,0.5,0.25,0.3333,4
Germinoma T1,0.6667,0.4,0.5,5
Germinoma T1C+,0.4286,0.5,0.4615,6
Germinoma T2,0.625,0.8333,0.7143,6
Glioblastoma T1,0.9,1.0,0.9474,9
Glioblastoma T1C+,0.7778,0.9333,0.8485,15
Glioblastoma T2,0.5,0.5556,0.5263,9
Granuloma T1,1.0,0.8,0.8889,5
Granuloma T1C+,0.75,0.5,0.6,6
Granuloma T2,0.1667,0.25,0.2,4
Meduloblastoma T1,0.5,0.75,0.6,4
Meduloblastoma T1C+,0.6,0.8182,0.6923,11
Meduloblastoma T2,0.625,0.7143,0.6667,7
Meningioma T1,0.7941,0.675,0.7297,40
Meningioma T1C+,0.7917,0.6909,0.7379,55
Meningioma T2,0.6429,0.5143,0.5714,35
Neurocitoma T1,0.6538,0.85,0.7391,20
Neurocitoma T1C+,0.7632,0.8529,0.8056,34
Neurocitoma T2,0.7778,0.8235,0.8,17
Oligodendroglioma T1,1.0,0.7857,0.88,14
Oligodendroglioma T1C+,0.5714,1.0,0.7273,12
Oligodendroglioma T2,0.5,0.3636,0.4211,11
Papiloma T1,0.6923,0.8182,0.75,11
Papiloma T1C+,0.9167,0.6471,0.7586,17
Papiloma T2,0.8,0.8,0.8,10
Schwannoma T1,0.7727,0.7391,0.7556,23
Schwannoma T1C+,0.7105,0.9,0.7941,30
Schwannoma T2,0.7857,0.5789,0.6667,19
Tuberculoma T1,0.8333,1.0,0.9091,5
Tuberculoma T1C+,1.0,0.7857,0.88,14
Tuberculoma T2,0.75,0.5,0.6,6
_NORMAL T1,0.8537,0.8974,0.875,39
_NORMAL T2,0.7907,0.8095,0.8,42
